Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,14,Sat,2018-11-24,17:00,Paris S-G,1.4,1–0,0.5,Toulouse,47244,Parc des Princes,Hakim Ben El Hadj Salem,Match Report,
Regular Season,14,Sat,2018-11-24,20:00,Nantes,1.8,1–1,0.8,Angers,23682,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
Regular Season,14,Sat,2018-11-24,20:00,Dijon,0.7,0–0,0.5,Bordeaux,12285,Stade Gaston Gérard,François Letexier,Match Report,
Regular Season,14,Sat,2018-11-24,20:00,Caen,0.9,0–1,0.9,Monaco,15013,Stade Michel d'Ornano,Thomas Léonard,Match Report,
Regular Season,14,Sat,2018-11-24,20:00,Strasbourg,1.3,0–1,1.1,Nîmes,25128,Stade de la Meinau,Benoît Millot,Match Report,
Regular Season,14,Sat,2018-11-24,20:00,Reims,0.7,2–1,1.3,Guingamp,10028,Stade Auguste-Delaune II,Johan Hamel,Match Report,
Regular Season,14,Sun,2018-11-25,15:00,Montpellier,2.2,2–2,1.8,Rennes,10761,Stade de la Mosson,Jérôme Brisard,Match Report,
Regular Season,14,Sun,2018-11-25,17:00,Nice,0.9,2–0,0.3,Lille,18211,Stade de Nice,Franck Schneider,Match Report,
Regular Season,14,Sun,2018-11-25,21:00,Amiens,1.1,1–3,2.5,Marseille,11932,Stade de la Licorne,Jérôme Miguelgorry,Match Report,

Regular Season,15,Fri,2018-11-30,20:45,Saint-Étienne,1.9,3–0,0.4,Nantes,21884,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
Regular Season,15,Sat,2018-12-01,17:00,Lille,0.8,2–2,2.9,Lyon,38755,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
Regular Season,15,Sat,2018-12-01,20:00,Angers,1.2,1–1,0.8,Caen,8523,Stade Raymond Kopa,Willy Delajod,Match Report,
Regular Season,15,Sat,2018-12-01,20:00,Nîmes,1.6,3–0,1.1,Amiens,12159,Stade des Costières,Karim Abed,Match Report,
Regular Season,15,Sat,2018-12-01,20:00,Monaco,0.8,1–2,1.1,Montpellier,6725,Stade Louis II.,Olivier Thual,Match Report,
Regular Season,15,Sat,2018-12-01,20:00,Guingamp,0.8,0–0,0.5,Nice,12671,Stade du Roudourou,Ruddy Buquet,Match Report,
Regular Season,15,Sun,2018-12-02,15:00,Toulouse,0.6,2–2,2.0,Dijon,10279,Stadium Municipal,Jérôme Miguelgorry,Match Report,
Regular Season,15,Sun,2018-12-02,17:00,Rennes,0.6,1–4,3.4,Strasbourg,19867,Roazhon Park,Eric Wattellier,Match Report,
Regular Season,15,Sun,2018-12-02,17:00,Marseille,1.1,0–0,0.6,Reims,41932,Orange Vélodrome,Nicolas Rainville,Match Report,
Regular Season,15,Sun,2018-12-02,21:00,Bordeaux,0.9,2–2,1.9,Paris S-G,40841,Stade Matmut-Atlantique,Franck Schneider,Match Report,

Regular Season,16,Tue,2018-12-04,19:00,Amiens,0.7,0–2,1.9,Monaco,11048,Stade de la Licorne,Jérôme Brisard,Match Report,
