Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,16,Sun,2017-12-03,21:00,Montpellier,0.9,1–1,1.0,Marseille,19230,Stade de la Mosson,Franck Schneider,Match Report,

Regular Season,17,Fri,2017-12-08,20:45,Bordeaux,0.7,0–3,1.3,Strasbourg,24515,Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
Regular Season,17,Sat,2017-12-09,17:00,Paris S-G,1.8,3–1,0.4,Lille,47176,Parc des Princes,Johan Hamel,Match Report,
Regular Season,17,Sat,2017-12-09,20:00,Toulouse,2.2,2–0,1.1,Caen,12613,Stadium Municipal,Sébastien Moreira,Match Report,
Regular Season,17,Sat,2017-12-09,20:00,Metz,1.0,1–1,1.1,Rennes,11239,Stade Saint-Symphorien,Karim Abed,Match Report,
Regular Season,17,Sat,2017-12-09,20:00,Angers,1.4,1–1,1.3,Montpellier,8756,Stade Raymond Kopa,Stéphane Jochem,Match Report,
Regular Season,17,Sat,2017-12-09,20:00,Guingamp,2.6,4–0,0.5,Dijon,13825,Stade du Roudourou,Mikael Lesage,Match Report,
Regular Season,17,Sat,2017-12-09,20:00,Monaco,1.1,3–2,1.8,Troyes,8935,Stade Louis II.,Franck Schneider,Match Report,
Regular Season,17,Sun,2017-12-10,15:00,Amiens,2.0,1–2,0.9,Lyon,9130,Stade de la Licorne,Olivier Thual,Match Report,
Regular Season,17,Sun,2017-12-10,17:00,Nantes,1.2,1–2,0.7,Nice,19723,Stade de la Beaujoire - Louis Fonteneau,Jérôme Miguelgorry,Match Report,
Regular Season,17,Sun,2017-12-10,21:00,Marseille,2.6,3–0,0.8,Saint-Étienne,41943,Orange Vélodrome,Nicolas Rainville,Match Report,

Regular Season,18,Fri,2017-12-15,20:45,Saint-Étienne,0.4,0–4,2.7,Monaco,23107,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
Regular Season,18,Sat,2017-12-16,17:00,Rennes,2.2,1–4,4.4,Paris S-G,29194,Roazhon Park,Antony Gautier,Match Report,
Regular Season,18,Sat,2017-12-16,20:00,Troyes,2.3,1–0,0.9,Amiens,14505,Stade de l'Aube,François Letexier,Match Report,
Regular Season,18,Sat,2017-12-16,20:00,Montpellier,0.5,1–3,1.2,Metz,14055,Stade de la Mosson,Benoît Millot,Match Report,
Regular Season,18,Sat,2017-12-16,20:00,Strasbourg,1.9,2–1,1.3,Toulouse,23315,Stade de la Meinau,Jérôme Miguelgorry,Match Report,
Regular Season,18,Sat,2017-12-16,20:00,Caen,0.9,0–0,0.4,Guingamp,17173,Stade Michel d'Ornano,Nicolas Rainville,Match Report,
Regular Season,18,Sat,2017-12-16,20:00,Dijon,0.7,3–0,0.6,Lille,10634,Stade Gaston Gérard,Thomas Léonard,Match Report,
Regular Season,18,Sun,2017-12-17,15:00,Nantes,1.2,1–0,0.6,Angers,24285,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Match Report,
Regular Season,18,Sun,2017-12-17,17:00,Nice,2.0,1–0,1.1,Bordeaux,22831,Stade de Nice,Ruddy Buquet,Match Report,
Regular Season,18,Sun,2017-12-17,21:00,Lyon,1.2,2–0,1.1,Marseille,57206,Groupama Stadium,Benoît Bastien,Match Report,

Regular Season,19,Wed,2017-12-20,20:50,Bordeaux,0.4,0–2,0.9,Montpellier,16429,Stade Matmut-Atlantique,Sébastien Desiage,Match Report,
Regular Season,19,Wed,2017-12-20,20:50,Monaco,1.6,2–1,1.8,Rennes,7542,Stade Louis II.,Benoît Bastien,Match Report,
