Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,12,Sat,2016-11-05,20:00,Bordeaux,2–1,Lorient,16332,Stade Matmut-Atlantique,Karim Abed,Match Report,
Regular Season,12,Sat,2016-11-05,20:00,Nantes,1–1,Toulouse,21138,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,
Regular Season,12,Sat,2016-11-05,20:00,Lyon,2–1,Bastia,33886,Groupama Stadium,Franck Schneider,Match Report,
Regular Season,12,Sat,2016-11-05,20:00,Angers,1–0,Lille,9750,Stade Raymond Kopa,Clément Turpin,Match Report,
Regular Season,12,Sat,2016-11-05,20:00,Dijon,3–3,Guingamp,7954,Stade Gaston Gérard,Stéphane Lannoy,Match Report,
Regular Season,12,Sun,2016-11-06,15:00,Caen,1–0,Nice,16225,Stade Michel d'Ornano,Johan Hamel,Match Report,
Regular Season,12,Sun,2016-11-06,17:00,Metz,0–0,Saint-Étienne,16204,Stade Saint-Symphorien,Bartolomeu Varela,Match Report,
Regular Season,12,Sun,2016-11-06,20:45,Paris S-G,4–0,Rennes,42002,Parc des Princes,Amaury Delerue,Match Report,

Regular Season,13,Fri,2016-11-18,19:00,Lorient,0–3,Monaco,9574,Stade Yves Allainmat - Le Moustoir,Frédy Fautrel,Match Report,
Regular Season,13,Fri,2016-11-18,20:45,Lille,0–1,Lyon,28660,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
Regular Season,13,Sat,2016-11-19,17:00,Paris S-G,2–0,Nantes,44258,Parc des Princes,François Letexier,Match Report,
Regular Season,13,Sat,2016-11-19,20:00,Bastia,1–1,Montpellier,10189,Stade Armand Césari,Sébastien Moreira,Match Report,
Regular Season,13,Sat,2016-11-19,20:00,Rennes,1–1,Angers,23142,Roazhon Park,Benoît Bastien,Match Report,
Regular Season,13,Sat,2016-11-19,20:00,Nancy,1–0,Dijon,16341,Stade Marcel Picot,Olivier Thual,Match Report,
Regular Season,13,Sat,2016-11-19,20:00,Toulouse,1–2,Metz,17746,Stadium Municipal,Sébastien Desiage,Match Report,
Regular Season,13,Sun,2016-11-20,15:00,Guingamp,1–1,Bordeaux,15381,Stade du Roudourou,Tony Chapron,Match Report,
Regular Season,13,Sun,2016-11-20,17:00,Marseille,1–0,Caen,36008,Orange Vélodrome,Stéphane Lannoy,Match Report,
Regular Season,13,Sun,2016-11-20,20:45,Saint-Étienne,0–1,Nice,30004,Stade Geoffroy-Guichard,Franck Schneider,Match Report,

Regular Season,14,Fri,2016-11-25,20:45,Rennes,1–0,Toulouse,17016,Roazhon Park,Frédy Fautrel,Match Report,
Regular Season,14,Sat,2016-11-26,17:10,Monaco,4–0,Marseille,14089,Stade Louis II.,Clément Turpin,Match Report,
Regular Season,14,Sat,2016-11-26,20:00,Montpellier,0–0,Nancy,9463,Stade de la Mosson,Karim Abed,Match Report,
